,nome,melhor alternativa
0,ALCATRA C/QJO,ALCATRA COM QUEIJO
1,ANCHO MONTANA,ANCHO ALIMENTAR
2,ASSADO DE TIRAS,ASSADO DE TIRAS ARG
3,CARVÃO 10KG,CARVÃO 10 KG
4,CARVÃO 3KG,CARVÃO 10 KG
5,CHORIZO EST.92,CHORIZO ESTÂNCIA 92
6,COSTELA BBQ ,COSTELINHA SUÍNA BBQ
7,COXINHA,COXINHA DA ASA
8,DENVER STEAK CARA PRETA,DENVER CARA PRETA
9,FRALDÃO URUGUAIO,FRALDÃO URUGUAIO ESTER
10,FRALDINHA MONT.,FRALDINHA ALIMENTAR
11,HAMB. CARA PRETA,HAMBURGUER CARA PRETA
12,HAMB. TILAPIA,HAMBURGUER DE TILÁPIA
13,KAFTA,KAFTA CHEDDAR
14,LINGUIÇA P. BIQUINHO,LINGUIÇA CUIABANA
15,LINGUIÇA BACON,LINGUIÇA CUIABANA
16,LINGUIÇA PROVOLONE,LINGUIÇA CASEIRA BRAZAS PROVOLONE
17,LINGUIÇA TRADICIONAL,LINGUIÇA CASEIRA BRAZAS TRADICIONAL
18,MANTA SUINA,MAMINHA MINERVA
19,MEDALHÃO,MEDALHÃO SUINO
20,PÃO DE ALHO PORO,PÃO DE ALHO PORCÃO
21,PÃO DE BACON,PÃO DE ALHO PORCÃO
22,PÃO DE TOMATE,PÃO DE CHOCOLATE
23,PÃO DE PEPPERONI,PÃO DE PEPPERONI COM QUEIJO
24,PAO DE CHOCOLATE,PÃO DE CHOCOLATE
25,PICANHA CIA CARNE,PICANHA SUÍNA CIA CARNE
26,PICANHA CRU. DO SUL,PICANHA CRUZEIRO DO SUL
27,PICANHA SAUDALI,PICANHA SUÍNA SAUDALI
28,PICANHA TACUAREMBO,PICANHA TACUAREMBÓ
29,PICOLE MINEIRO,PICOLÉ MINEIRO BBQ
30,PORCHETA,PORCHETTA
31,POTERHOUSE,PORTERHOUSE CARA PRETA
32,SALSICHÃO C/QJO,SALSICHÃO COM QUEIJO
33,SOBRECOXA,SOBRECOXA DESOSSADA PORCÃO
34,TIBONE,T-BONE RARO
