,0,1,4,5
0,CARV,CARVÃO 3 KG,350.0,Nilson
1,CORAC,CORAÇÃO,124.95,Gatão
2,FRALDMINE,FRALDINHA MONTANA,544.7,Marfrig
3,LINGBRAZBAC,LINGUIÇA CASEIRA BRAZAS BACON,82.5,Danta
4,LINGBRAZPIM,LINGUIÇA CASEIRA BRAZAS PIMENTA,82.5,Danta
5,LINGBRAZPRVL,LINGUIÇA CASEIRA BRAZAS PROVOLONE,82.5,Danta
6,LINGBRAZTRAD,LINGUIÇA CASEIRA BRAZAS TRADICIONAL,82.5,Danta
7,LINGCOSCP,LINGUIÇA DE COSTELA,316.8,Cara Preta
8,MEDBATCHED,MEDALHÃO DE BATATA,240.0,Espetinhos
9,PDADB4QUE,PÃO DE 4 QUEIJOS,64.8,Dona Beth
10,PDADBTRAD,PÃO DE ALHO COM QUEIJO,58.85,Dona Beth
11,PDADBAPQS,PÃO DE ALHO PORÓ COM QUEIJO SUIÇO,64.8,Dona Beth
12,PDADBBACCHED,PÃO DE BACON COM CHEDDAR,64.8,Dona Beth
13,PDADBTOMPRO,PÃO DE TOMATE COM PROVOLONE,64.8,Dona Beth
14,PDAPEPP,PÃO DE PEPPERONI,64.8,Dona Beth
15,PICBRAZ,PICANHA BRAZAS,474.5,Porcão
16,PICSUISDL,PICANHA SUÍNA SAUDALI,180.0,Saudali
17,QUEIJCOA,QUEIJO COALHO TIROLEZ,297.0,Tirolez
18,SALSIGAT,SALSICHÃO,48.78,Gatão
19,SOBREGAT,SOBRECOXA DESOSSADA NA CERVEJA,359.8,Gatão
