,id,nome,codigo,unidade,estoque_minimo,slug,marca
1,623449734,ALCATRA COM QUEIJO,ALCAQP,kg,8.62,Alcatra,Porcão
2,623449795,ALMÔNDEGA BACON,ALMOBARB,kg,5.0,Almôndega,Recheados Brasil
3,623449782,ALMÔNDEGA QUEIJO,ALMOQRB,kg,4.5,Almôndega,Recheados Brasil
4,778208483,ANCHO ALIMENTAR,ANCHALI,kg,0.0,Ancho,Alimentar
5,646749750,ANCHO DI PRIMA,ANCHDIPDI,kg,0.0,Ancho,Di Prima
6,729652533,ANCHO MINERVA,ANCHMINERV,kg,0.0,Ancho,Minerva
7,638403161,ANCHO MONTANA STEAKHOUSE,ANCHMOSTKMA,kg,4.0,Ancho,Montana Steakhouse
8,623449824,ASINHA RECHEADA,ASARECHRB,un,5.0,Asinha,Recheados Brasil
9,623449837,ASSADO DE TIRAS ARG,ASSTIRARG,kg,2.0,Assado,ARG
10,661843960,BACON FATIADO,BACNFATDNT,un,2.0,Bacon,
14,649329262,BUTCHER STEAK PORCAO,BUTCHPORC,kg,0.0,Butcher,Porcão
17,733149637,CARPACCIO CARA PRETA,CARPACCP,un,0.0,Carpaccio,Cara Preta
18,659216777,CARRÉ CORDEIRO 1953,CARREPLE,kg,1.0,Carré Cordeiro,1953
23,623449886,CHORIZO ESTÂNCIA 92,CHRZEST92,kg,4.0,Chorizo,Estância 92
27,623449902,CORAÇÃO,CORAGAT,kg,6.0,Coração,Jerônimos
28,692081848,COSTELINHA DIA A DIA,COSTDIADIA,kg,2.0,Costelinha,Dia a Dia
29,623449926,COSTELINHA SUÍNA BBQ,COSTBBQRB,kg,3.0,Costelinha,Recheados Brasil
30,706381781,COWBOY CARA PRETA,COWBCP,kg,0.0,Cowboy,Cara Preta
31,623449932,COXINHA DA ASA,COXINGAT,kg,6.0,Coxinha,Jerônimos
32,623449946,DENVER CARA PRETA,DENVCP,kg,2.0,Denver,Cara Preta
34,794828451,FRALDA MINERVA,FRALDMINE,kg,0.0,Fralda,Minerva
35,773934587,FRALDÃO BURG,FRALDBG,kg,0.0,Falda,Burg
36,770209199,FRALDÃO URUGUAIO ESTER,FRLDURUESTR,kg,0.0,Fralda,Ester de Lima
37,778208038,FRALDINHA ALIMENTAR,FRALDALI,kg,0.0,Fraldinha,Alimentar
38,791977192,FRALDINHA BASSI,FRALDBASS,kg,5.0,Fraldinha,Bassi
39,663063892,FRALDINHA CARA PRETA,FRALDCP,kg,2.0,Fraldinha,Cara Preta
40,623449970,FRALDINHA ESTÂNCIA 92,FRALDIEST92,kg,5.0,Fraldinha,Estância 92
41,744114547,FRALDINHA LS,FRALDLS,kg,0.0,Fraldinha,LS
42,767806291,FRALDINHA MATABOI,FRALDMTBOI,kg,0.0,Fraldinha,Mataboi
43,799895288,FRALDINHA MINERVA,FRALDMNRVA,kg,0.0,Fraldinha,Minerva
44,664322273,FRALDINHA MONTANA STEAKHOUSE,FRALDMONTANA,kg,4.0,Fraldinha,Montana Steakhouse
45,638432052,FRALDINHA RED RARO,FRDIRERARO,kg,0.0,Fraldinha,Raro
47,623449997,HAMBURGUER CARA PRETA,HAMBCP,un,2.0,Hamburguer,Cara Preta
48,789712012,HAMBURGUER DE TILÁPIA,HBRGTILP,un,0.0,Hamburguer,
49,623450013,KAFTA CHEDDAR,KAFTCHED,un,4.0,Kafta,Espetinhos Diferentes
57,649329268,LINGUIÇA  DE PERNIL PORCÃO,LINGPERPRC,kg,0.0,Linguiça,Porcão
58,785293008,LINGUIÇA ARTESANAL DE TILÁPIA,LINGARTTLP,kg,0.0,Linguiça,
59,623450189,LINGUIÇA CASEIRA BRAZAS BACON,LINGBRAZBAC,kg,3.0,Linguiça,Brazas
60,623450199,"LINGUIÇA CASEIRA BRAZAS BACON, QUEIJO E ALHO PORÓ",LINGBRZBQA,kg,10.0,Linguiça,Brazas
61,800868965,LINGUIÇA CASEIRA BRAZAS FRANGO,LINGBRZSFRG,un,0.0,Linguiça,Brazas
62,623450046,LINGUIÇA CASEIRA BRAZAS PIMENTA,LINGBRAZPIM,kg,3.0,Linguiça,Brazas
